"Station.ID","WY","UTMX","UTMY","mean.TSS","mean.Turb","mean.TP"
"L008",2017,510750.117058978,2981689.10764391,38.9166666666667,49.65,152.583333333333
"L008",2018,510750.117058978,2981689.10764391,59.6666666666667,75.8583333333333,210.333333333333
"L008",2019,510750.117058978,2981689.10764391,28.9166666666667,37.2166666666667,149.75
"L008",2020,510750.117058978,2981689.10764391,42.3076923076923,47.6153846153846,153.384615384615
"LZ2",1988,517032.617575085,3007463.86341135,8,10.4793103448276,96.35
"LZ2",1989,517032.617575085,3007463.86341135,NA,9.40869565217391,81.8260869565217
"LZ2",1990,517032.617575085,3007463.86341135,10,11.08,91
"LZ2",1991,517032.617575085,3007463.86341135,7.84615384615385,8.37647058823529,97
"LZ2",1992,517032.617575085,3007463.86341135,8.4,6.475,74.75
"LZ2",1993,517032.617575085,3007463.86341135,6.54545454545455,6.2,68.1818181818182
"LZ2",1994,517032.617575085,3007463.86341135,8,8.41818181818182,61.3636363636364
"LZ2",1995,517032.617575085,3007463.86341135,8.28571428571429,8.3,76.2142857142857
"LZ2",1996,517032.617575085,3007463.86341135,8.875,9.65125,97.3125
"LZ2",1997,517032.617575085,3007463.86341135,13.2666666666667,11.328,76.0769230769231
"LZ2",1998,517032.617575085,3007463.86341135,9.5,7.04588235294118,84.775
"LZ2",1999,517032.617575085,3007463.86341135,13.4444444444444,10.6016666666667,85.7777777777778
"LZ2",2000,517032.617575085,3007463.86341135,18.8125,19.28625,122.125
"LZ2",2001,517032.617575085,3007463.86341135,22.8666666666667,25.85,106.5
"LZ2",2002,517032.617575085,3007463.86341135,11.5533333333333,11.5906666666667,122.133333333333
"LZ2",2003,517032.617575085,3007463.86341135,7,6.12388888888889,85.1111111111111
"LZ2",2004,517032.617575085,3007463.86341135,4.15,6.15636363636364,97.4545454545455
"LZ2",2005,517032.617575085,3007463.86341135,44.2727272727273,48.7,177.545454545455
"LZ2",2006,517032.617575085,3007463.86341135,36.1538461538462,43.4153846153846,185.076923076923
"LZ2",2007,517032.617575085,3007463.86341135,39.6363636363636,39.1636363636364,167
"LZ2",2009,517032.617575085,3007463.86341135,18.5625,20.375,134.5
"LZ2",2010,517032.617575085,3007463.86341135,9.31818181818182,9.2,86
"LZ2",2011,517032.617575085,3007463.86341135,8.59090909090909,7.76363636363636,77.9090909090909
"LZ2",2012,517032.617575085,3007463.86341135,14.75,11.5333333333333,85.9166666666667
"LZ2",2013,517032.617575085,3007463.86341135,9.83333333333333,9.45454545454546,103.25
"LZ2",2014,517032.617575085,3007463.86341135,8.95833333333333,9.625,104.833333333333
"LZ2",2015,517032.617575085,3007463.86341135,8.91666666666667,8.86666666666667,104.083333333333
"LZ2",2016,517032.617575085,3007463.86341135,10.6666666666667,10.7272727272727,97.9166666666667
"LZ2",2017,517032.617575085,3007463.86341135,15.3333333333333,13.6083333333333,122.5
"LZ2",2018,517032.617575085,3007463.86341135,25.0909090909091,34.5,223.181818181818
"LZ2",2019,517032.617575085,3007463.86341135,17.1666666666667,15.55,118.416666666667
"LZ2",2020,517032.617575085,3007463.86341135,18.3076923076923,16.2461538461538,103.461538461538
"LZ25",1988,524397.868554951,2957722.85155638,0.5,8.11071428571429,63.6315789473684
"LZ25",1989,524397.868554951,2957722.85155638,13.1875,11.825,77.5
"LZ25",1990,524397.868554951,2957722.85155638,15.6785714285714,11.5444444444444,54.4705882352941
"LZ25",1991,524397.868554951,2957722.85155638,23,11.29,80.7
"LZ25",1992,524397.868554951,2957722.85155638,6.59375,6.46875,49.1875
"LZ25",1993,524397.868554951,2957722.85155638,12.3888888888889,12.6055555555556,64.8888888888889
"LZ25",1994,524397.868554951,2957722.85155638,23.3055555555556,24.5388888888889,86.1578947368421
"LZ25",1995,524397.868554951,2957722.85155638,10,9.33529411764706,64.8947368421053
"LZ25",1996,524397.868554951,2957722.85155638,17,19.7823529411765,96.4705882352941
"LZ25",1997,524397.868554951,2957722.85155638,19.9375,17.415625,91.9333333333333
"LZ25",1998,524397.868554951,2957722.85155638,9.35294117647059,13.4511764705882,90.3333333333333
"LZ25",1999,524397.868554951,2957722.85155638,10.1388888888889,12.3494444444444,77.7222222222222
